PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
068071 D00046,1999,40,3,GD,NA,MEMPHIS
054020  00012,1949,25,3,AV,Y,MEMPHIS
064016  00024,1956,35,3,EX,Y,MEMPHIS
045098  00006,1940,30,3,AV,Y,MEMPHIS
028035  00012,1912,25,3,FR,Y,MEMPHIS
030019  00022,1923,30,3,AV,Y,MEMPHIS
046056  00020,1940,30,3,AV,Y,MEMPHIS
046019  00034,1941,25,3,FR,Y,MEMPHIS
065007  00025,1958,40,4,AV,Y,MEMPHIS
065029  00026,1955,35,3,GD,Y,MEMPHIS
066016  00004,1955,25,3,FR,Y,MEMPHIS
066013  00008,1962,30,3,FR,Y,MEMPHIS
056026  00021,2015,45,3,EX,NA,MEMPHIS
028034  00067,1980,35,3,AV,Y,MEMPHIS
028034  00080,2003,35,3,AV,NA,MEMPHIS
028034  00058,1980,35,3,AV,NA,MEMPHIS
055066 B00002,1992,45,3,VG,Y,MEMPHIS
055066 B00003,1992,45,3,VG,Y,MEMPHIS
055066  00023C,1992,45,4,VG,Y,MEMPHIS
044093 A00015,1982,30,3,AV,NA,MEMPHIS
044093 A00016,1982,30,3,AV,NA,MEMPHIS
044093 A00006,1981,30,3,AV,NA,MEMPHIS
055045  00043,2005,50,3,VG,NA,MEMPHIS
068003 A00001,2003,40,3,GD,NA,MEMPHIS
068003 A00003,2004,40,3,GD,NA,MEMPHIS
068003 A00004,1957,30,3,AV,NA,MEMPHIS
068003 A00011,2003,40,3,GD,NA,MEMPHIS
028034 E00004,2006,50,3,VG,NA,MEMPHIS
028034 E00003,1932,50,3,VG,NA,MEMPHIS
066024  00007,1953,25,3,AV,Y,MEMPHIS
063011 A00006,2004,30,3,AV,NA,MEMPHIS
063011 A00005,2005,30,3,AV,NA,MEMPHIS
055004  00030,1948,25,3,FR,Y,MEMPHIS
055019  00011,1956,35,3,GD,Y,MEMPHIS
055066 B00004,1991,45,3,VG,Y,MEMPHIS
056024  00040,1955,40,3,VG,Y,MEMPHIS
045013  00021,1946,30,3,FR,NA,MEMPHIS
045013  00022,1940,25,3,FR,NA,MEMPHIS
045013  00023,1939,30,3,AV,NA,MEMPHIS
045013  00024,1922,30,3,AV,Y,MEMPHIS
045013  00019,1936,30,3,FR,NA,MEMPHIS
045013  00019,2012,25,3,FR,NA,MEMPHIS
065022  00001,1952,30,3,AV,Y,MEMPHIS
028034 E00005,2006,50,3,VG,NA,MEMPHIS
016051 B00002,2005,45,3,VG,NA,MEMPHIS
016051 B00003,2004,45,3,VG,NA,MEMPHIS
016051 B00004,2006,45,3,VG,NA,MEMPHIS
016051 B00005,2004,45,3,VG,NA,MEMPHIS
016051 B00001,2004,45,3,VG,NA,MEMPHIS
016051 B00019,2004,45,3,VG,NA,MEMPHIS
016051 B00016,2004,45,3,VG,NA,MEMPHIS
016051 B00015,2004,45,3,VG,NA,MEMPHIS
031132  00014,1916,25,3,PR,Y,MEMPHIS
031132  00016,1910,30,3,PR,Y,MEMPHIS
045013  00025,1955,30,3,FR,NA,MEMPHIS
045013  00026,1940,30,3,AV,Y,MEMPHIS
031116  00010,1926,30,3,AV,Y,MEMPHIS
016044  00038,2015,45,3,VG,NA,MEMPHIS
045040  00028,1941,30,3,AV,Y,MEMPHIS
055031  00006,1955,35,3,AV,Y,MEMPHIS
044081  00027,1947,35,2,GD,Y,MEMPHIS
055044  00006,1953,35,3,AV,Y,MEMPHIS
045072  00092C,1953,55,3,VG,NA,MEMPHIS
054002  00018,1951,25,1,FR,Y,MEMPHIS
063066  00023,1955,25,3,FR,Y,MEMPHIS
045072  00057,1973,50,3,EX,NA,MEMPHIS
045072  00056,1973,50,3,EX,NA,MEMPHIS
045072  00055,1973,50,3,VG,NA,MEMPHIS
045072  00054,1973,55,3,EX,NA,MEMPHIS
045072  00053,1973,50,3,EX,NA,MEMPHIS
045072  00062,1973,50,3,EX,NA,MEMPHIS
045072  00061,1973,50,3,EX,NA,MEMPHIS
045072  00060,1973,50,3,VG,NA,MEMPHIS
045072  00059,1973,50,3,EX,NA,MEMPHIS
045072  00067,1973,50,3,EX,NA,MEMPHIS
045072  00066,1973,50,3,EX,NA,MEMPHIS
045072  00065,1973,50,3,VG,NA,MEMPHIS
045072  00064,1973,50,3,VG,NA,MEMPHIS
045072  00063,1973,50,3,VG,NA,MEMPHIS
045072  00058,1973,50,3,VG,NA,MEMPHIS
045072  00071,1973,50,3,EX,NA,MEMPHIS
045072  00070,1973,50,3,VG,NA,MEMPHIS
045072  00069,1973,55,3,EX,NA,MEMPHIS
045072  00068,1973,50,3,EX,NA,MEMPHIS
045127  00055,1922,30,3,AV,Y,MEMPHIS
055035  00014,1957,40,3,AV,Y,MEMPHIS
044061 A00010,1983,45,4,GD,NA,MEMPHIS
016054  00023,1912,30,3,AV,Y,MEMPHIS
045062 B00023,1986,45,3,VG,Y,MEMPHIS
045062 B00022,1988,45,3,VG,Y,MEMPHIS
016049 A00003,1969,35,3,VG,NA,MEMPHIS
045040  00023,1941,40,3,GD,Y,MEMPHIS
016066  00022,1978,25,3,AV,Y,MEMPHIS
