PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
034010  00007,1930,30,2,AV,Y,MEMPHIS
035045  00019C,1964,25,3,PR,Y,MEMPHIS
021029  00029,1956,25,1,FR,NA,MEMPHIS
070093  00013,1919,25,3,FR,Y,MEMPHIS
070093  00007,1942,20,3,FR,Y,MEMPHIS
070093  00006,1949,20,3,FR,Y,MEMPHIS
070093  00008,1946,30,3,FR,Y,MEMPHIS
014008 B00076,2005,35,3,AV,NA,MEMPHIS
014008 B00057,2005,30,3,AV,NA,MEMPHIS
014008 B00040,2004,30,3,AV,NA,MEMPHIS
014010  00015,1940,25,3,FR,Y,MEMPHIS
014010  00013,2007,30,3,FR,NA,MEMPHIS
014010  00012,1920,25,3,FR,NA,MEMPHIS
014010  00011,1925,25,3,FR,Y,MEMPHIS
014010  00009,1921,30,3,FR,Y,MEMPHIS
014008 B00066,2005,30,3,AV,NA,MEMPHIS
014008 B00051,2005,30,3,AV,NA,MEMPHIS
014008 B00063,2005,30,3,AV,NA,MEMPHIS
014008 B00046,2005,30,3,AV,NA,MEMPHIS
014008 B00058,2005,35,3,AV,NA,MEMPHIS
014008 B00062,2005,30,3,AV,NA,MEMPHIS
014008 B00045,2005,30,3,AV,NA,MEMPHIS
002094 B00024,1915,45,3,GD,NA,MEMPHIS
007003 A00014,2008,40,3,GD,NA,MEMPHIS
002094 B00034,1915,45,3,GD,NA,MEMPHIS
002094 B00023,1915,45,3,AV,NA,MEMPHIS
002094 B00033,1915,45,3,VG,NA,MEMPHIS
002094 B00012,1915,45,3,AV,NA,MEMPHIS
002094 B00022,1915,45,3,GD,NA,MEMPHIS
002094 B00032,1915,45,3,GD,NA,MEMPHIS
002094 B00011,1915,45,3,AV,NA,MEMPHIS
002094 B00021,1915,45,3,GD,NA,MEMPHIS
016013  00004C,1930,30,3,AV,Y,MEMPHIS
014008 A00021,2004,30,3,AV,NA,MEMPHIS
014008 A00017,2004,30,3,AV,NA,MEMPHIS
002091 D00017,2016,55,3,EX,NA,MEMPHIS
014006  00017C,1998,25,3,PR,NA,MEMPHIS
014006  00017C,1998,25,3,PR,NA,MEMPHIS
014006  00017C,1998,25,3,PR,Y,MEMPHIS
014006  00017C,1998,25,3,PR,Y,MEMPHIS
014006  00017C,1998,25,3,PR,Y,MEMPHIS
014006  00017C,1998,25,3,PR,Y,MEMPHIS
013041 A00001,2006,30,3,AV,NA,MEMPHIS
014008 A00010,2004,30,3,AV,NA,MEMPHIS
014008 A00007,2004,30,3,AV,NA,MEMPHIS
001096 A00126,2006,35,3,GD,NA,MEMPHIS
026019  00009,1928,30,2,FR,Y,MEMPHIS
026019  00032,1926,25,3,FR,NA,MEMPHIS
026019  00046,1910,35,2,PR,Y,MEMPHIS
002091 B00043,2005,40,3,GD,NA,MEMPHIS
001079  00013C,2013,30,3,FR,NA,MEMPHIS
049022  00023,1949,25,3,AV,Y,MEMPHIS
002082  00009,2016,50,3,EX,NA,MEMPHIS
002082  00013,2015,45,3,VG,NA,MEMPHIS
002082  00012,2015,45,3,VG,NA,MEMPHIS
022022  00020,2017,30,3,AV,NA,MEMPHIS
035103  00013C,1912,20,1,PR,Y,MEMPHIS
035103  00025,1999,25,3,FR,Y,MEMPHIS
035103  00027,1950,20,1,PR,Y,MEMPHIS
035103  00011,1972,20,2,FR,Y,MEMPHIS
035103  00028,1922,25,1,FR,Y,MEMPHIS
002082  00011,2015,45,3,VG,NA,MEMPHIS
002082  00010,2015,45,3,VG,NA,MEMPHIS
021067  00002,1958,25,3,FR,NA,MEMPHIS
025028  00027,1960,25,3,FR,Y,MEMPHIS
025028  00028,1912,25,2,FR,NA,MEMPHIS
025028  00029,1973,25,3,FR,Y,MEMPHIS
025028  00033,1912,30,1,PR,Y,MEMPHIS
025028  00022,1920,30,1,PR,Y,MEMPHIS
025028  00026,1912,30,1,PR,Y,MEMPHIS
025028  00035,1912,30,3,FR,Y,MEMPHIS
069063  00012,1949,25,3,FR,Y,MEMPHIS
002122 B00004,2005,40,3,GD,NA,MEMPHIS
002122 B00003,2005,40,3,VG,NA,MEMPHIS
001089  00003,1912,25,2,FR,Y,MEMPHIS
014008 B00050,2005,30,3,AV,NA,MEMPHIS
014008 B00067,2005,30,3,AV,NA,MEMPHIS
026038  00045,1972,20,2,PR,Y,MEMPHIS
014037  00024,1917,25,3,FR,Y,MEMPHIS
021040  00062,1945,25,2,PR,Y,MEMPHIS
070083  00005,1931,25,3,FR,Y,MEMPHIS
031013  00008C,1917,40,4,GD,Y,MEMPHIS
031013  00008C,1930,30,3,AV,Y,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
017038 F00009C,1920,30,3,AV,NA,MEMPHIS
001096 A00128,2006,35,3,GD,NA,MEMPHIS
001096 A00125,2006,35,3,GD,NA,MEMPHIS
001105  00030,2006,35,3,GD,NA,MEMPHIS
001105  00032,2006,35,3,GD,NA,MEMPHIS
001105  00033,2006,35,3,GD,NA,MEMPHIS
020014  00011,1922,35,3,PR,NA,MEMPHIS
002091 B00038,2005,40,3,GD,NA,MEMPHIS
069077 J00020,2005,40,3,GD,NA,MEMPHIS
069077 J00041,2007,40,3,GD,NA,MEMPHIS
069071  00002,1962,25,3,FR,Y,MEMPHIS
070009  00009,1955,30,3,FR,Y,MEMPHIS
002091 D00014,2006,55,3,EX,NA,MEMPHIS
025074  00023,1920,25,3,PR,N,MEMPHIS
069072 A00110,1968,25,3,FR,Y,MEMPHIS
070009  00029,1954,30,3,FR,Y,MEMPHIS
016008  00010,1902,40,3,GD,NA,MEMPHIS
016028  00020,1905,50,4,EX,NA,MEMPHIS
020016  00011,1922,35,3,AV,Y,MEMPHIS
025024  00039,1972,25,3,FR,Y,MEMPHIS
002091 B00026,2006,40,3,GD,NA,MEMPHIS
002091 B00044,2005,40,3,GD,NA,MEMPHIS
002091 D00016,2015,55,3,EX,NA,MEMPHIS
002091 D00015,2015,55,3,EX,NA,MEMPHIS
