PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
D0112   00004,1965,35,3,AV,Y,SHELBY COUNTY
M0115I L00003,1971,30,3,FR,Y,MILLINGTON
D0116  C00023,1953,30,3,FR,Y,SHELBY COUNTY
D0116  E00032,1974,30,3,FR,Y,SHELBY COUNTY
D0116  E00031,1973,30,3,FR,Y,SHELBY COUNTY
D0116  C00024,1953,30,3,FR,Y,SHELBY COUNTY
D0116   00164,1929,25,3,PR,Y,SHELBY COUNTY
M0126   00008,1956,15,3,FR,Y,MILLINGTON
D0134   00478,1961,30,3,FR,Y,SHELBY COUNTY
D0135K A00003,2006,35,4,GD,NA,SHELBY COUNTY
A0142N E00028,2006,45,3,VG,NA,ARLINGTON
A0142N E00027,2006,45,3,VG,NA,ARLINGTON
A0142N E00012,2007,45,3,VG,NA,ARLINGTON
A0142N E00025,2006,45,3,VG,NA,ARLINGTON
A0142N E00024,2007,45,3,VG,NA,ARLINGTON
A0142N E00014,2005,45,3,VG,NA,ARLINGTON
A0142N E00022,2005,45,3,VG,NA,ARLINGTON
A0142N E00017,2005,45,3,VG,NA,ARLINGTON
A0142N E00018,2005,45,3,VG,NA,ARLINGTON
096203 F00059,2001,30,3,GD,NA,MEMPHIS
096203 F00058,2002,30,3,GD,N,MEMPHIS
A0142Q A00018,2009,45,3,VG,NA,ARLINGTON
A0142Q A00036,2010,45,3,VG,NA,ARLINGTON
A0142Q A00034,2010,45,3,VG,NA,ARLINGTON
A0142Q A00023,2011,45,3,VG,NA,ARLINGTON
A0142Q A00044,2010,45,3,VG,NA,ARLINGTON
A0142Q A00024,2010,45,3,VG,NA,ARLINGTON
D0108   00105,1986,35,3,AV,NA,SHELBY COUNTY
A0142   00296,1961,40,3,GD,Y,ARLINGTON
A0152S A00009,2004,35,3,GD,NA,ARLINGTON
A0152S A00008,2005,35,3,VG,NA,ARLINGTON
M0115I L00002,1971,30,3,FR,Y,MILLINGTON
D0119   00229,1993,45,3,VG,NA,SHELBY COUNTY
A0152S E00052,2007,35,3,GD,NA,ARLINGTON
A0152S E00051,2007,35,3,GD,NA,ARLINGTON
096621 B00009,2003,35,3,GD,NA,MEMPHIS
096621 B00010,2003,35,3,GD,NA,MEMPHIS
A0152S B00040,2006,35,3,GD,NA,ARLINGTON
A0152S B00045,2005,35,3,VG,NA,ARLINGTON
A0142D D00004,2007,40,3,VG,NA,ARLINGTON
A0142D D00002,2006,45,3,GD,NA,ARLINGTON
A0142D D00001,2008,45,3,VG,NA,ARLINGTON
A0142D D00007,2006,45,3,VG,NA,ARLINGTON
A0142D D00011,2006,45,3,VG,NA,ARLINGTON
A0142D D00008,2006,45,3,VG,NA,ARLINGTON
A0142D D00009,2006,45,3,VG,NA,ARLINGTON
D0104   00371,1996,30,3,AV,Y,SHELBY COUNTY
A0142D D00023,2007,50,3,EX,NA,ARLINGTON
A0141B A00003,2004,40,3,GD,NA,ARLINGTON
D0118B A00017,2006,45,3,GD,NA,SHELBY COUNTY
D0118B A00018,2000,40,3,GD,Y,SHELBY COUNTY
D0118B A00021,2002,45,3,GD,NA,SHELBY COUNTY
L0151   00472,1951,25,3,FR,NA,LAKELAND
D0124   00468,1990,35,3,AV,NA,SHELBY COUNTY
D0124   00291C,1978,25,3,AV,Y,SHELBY COUNTY
D0116   00405,1954,35,3,AV,Y,SHELBY COUNTY
A0141B B00018,2007,40,3,GD,NA,ARLINGTON
A0141B B00017,2006,40,3,VG,NA,ARLINGTON
M0126E A00012,2004,35,3,GD,NA,MILLINGTON
M0126E A00013,2005,35,3,GD,NA,MILLINGTON
M0126E A00010,2005,35,3,GD,NA,MILLINGTON
M0126E A00036,2005,35,3,GD,NA,MILLINGTON
D0134   00159,1942,20,3,AV,Y,SHELBY COUNTY
096202 D00016,2011,30,3,GD,NA,MEMPHIS
096202 D00020,2018,30,3,GD,NA,MEMPHIS
A0142I D00032,2007,45,3,VG,NA,ARLINGTON
A0142Q A00038,2010,45,3,VG,NA,ARLINGTON
A0142C A00054,2010,45,3,VG,NA,ARLINGTON
A0142N E00007,2006,45,3,VG,NA,ARLINGTON
M0115U C00020,2007,35,3,GD,NA,MILLINGTON
M0115U C00019,2007,35,3,GD,NA,MILLINGTON
A0142O E00018,1999,35,3,GD,NA,ARLINGTON
D0104   00332,1993,35,3,AV,Y,SHELBY COUNTY
D0114   00468,2007,40,3,AV,NA,SHELBY COUNTY
A0152   00117,2014,45,3,GD,NA,ARLINGTON
D0116   00066,2000,40,3,AV,Y,SHELBY COUNTY
M0115U C00011,2007,35,3,GD,NA,MILLINGTON
D0130O A00012,2021,50,3,VG,NA,SHELBY COUNTY
D0130O A00011,2018,45,3,VG,NA,SHELBY COUNTY
D0130O A00006,2021,45,3,GD,NA,SHELBY COUNTY
D0130O A00009,2021,40,3,GD,NA,SHELBY COUNTY
D0130O A00004,2021,50,3,VG,NA,SHELBY COUNTY
D0129   00204,1958,35,3,GD,NA,SHELBY COUNTY
A0152I B00031,2007,50,3,VG,NA,ARLINGTON
A0152I B00033,2007,50,3,VG,NA,ARLINGTON
A0152I B00032,2007,50,3,VG,NA,ARLINGTON
A0142V A00004,2014,45,3,EX,NA,ARLINGTON
A0142V A00006,2015,45,3,VG,NA,ARLINGTON
A0142V A00008,2015,45,3,VG,NA,ARLINGTON
A0142V A00009,2016,45,3,VG,NA,ARLINGTON
M0115   00355,1949,25,3,FR,Y,MILLINGTON
A0142   00801,2014,40,3,GD,NA,ARLINGTON
L0140   00289,2006,50,3,VG,NA,LAKELAND
L0140   00289,2004,30,3,FR,NA,LAKELAND
D0136   00268,2003,30,3,AV,NA,SHELBY COUNTY
D0135   00114,2011,30,3,AV,NA,SHELBY COUNTY
A0142D B00064,2005,45,3,VG,NA,ARLINGTON
A0142D B00065,2006,45,3,VG,NA,ARLINGTON
D0135   00506,1952,30,3,AV,N,SHELBY COUNTY
D0106   00157,1964,20,3,PR,Y,SHELBY COUNTY
D0137X D00008,1993,30,3,AV,Y,SHELBY COUNTY
D0137X A00013,1989,30,3,AV,Y,SHELBY COUNTY
M0115U B00013,2007,35,3,VG,NA,MILLINGTON
D0123   00138,1987,35,3,GD,Y,SHELBY COUNTY
D0135   00450,1997,40,3,AV,Y,SHELBY COUNTY
D0135   00432,1992,30,3,AV,Y,SHELBY COUNTY
D0135   00422,1992,20,3,FR,Y,SHELBY COUNTY
D0135   00500,1993,40,3,AV,NA,SHELBY COUNTY
D0135   00451,1996,40,3,AV,Y,SHELBY COUNTY
L0140   00282,2003,35,3,GD,NA,LAKELAND
D0135W A00014,1983,40,3,GD,Y,SHELBY COUNTY
M0126   00291,1902,30,2,AV,Y,MILLINGTON
M0126M H00012,2004,40,3,GD,NA,MILLINGTON
M0126P A00045,2021,45,3,VG,NA,MILLINGTON
