PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
D0207B C00004,1997,30,3,AV,Y,SHELBY COUNTY
D0207B C00005,1997,30,3,AV,NA,SHELBY COUNTY
D0207B C00006,1996,30,3,AV,Y,SHELBY COUNTY
D0207B C00007,1997,30,3,AV,Y,SHELBY COUNTY
D0207B C00008,1997,30,3,AV,NA,SHELBY COUNTY
D0207B C00009,1997,30,3,AV,Y,SHELBY COUNTY
D0207B C00010,1997,30,3,AV,Y,SHELBY COUNTY
D0207B C00011,1997,30,3,AV,NA,SHELBY COUNTY
D0207B C00003,1997,30,3,AV,NA,SHELBY COUNTY
096615 I00013,2004,35,3,GD,NA,MEMPHIS
D0213Q E00031,2000,30,3,AV,Y,SHELBY COUNTY
D0207G B00055,1999,35,3,AV,NA,SHELBY COUNTY
D0207G C00010,2000,30,3,AV,NA,SHELBY COUNTY
D0207G B00046,2000,35,3,AV,NA,SHELBY COUNTY
D0207G B00045,2000,35,3,AV,Y,SHELBY COUNTY
D0207G B00054,1999,35,3,AV,N,SHELBY COUNTY
D0221W A00017,2012,45,3,VG,NA,SHELBY COUNTY
D0221W A00032,2014,45,3,VG,NA,SHELBY COUNTY
D0210   00393C,1998,50,3,EX,Y,SHELBY COUNTY
D0209A B00077,2006,35,3,GD,NA,SHELBY COUNTY
D0209A E00040,2010,35,3,GD,NA,SHELBY COUNTY
D0209A B00014,2007,40,3,GD,NA,SHELBY COUNTY
D0209A A00090,2006,35,3,GD,NA,SHELBY COUNTY
D0215U C00032,2004,35,3,GD,NA,SHELBY COUNTY
D0215U C00033,2005,35,3,GD,NA,SHELBY COUNTY
D0215U C00107,2004,35,3,GD,NA,SHELBY COUNTY
D0215U C00070,2007,35,3,GD,NA,SHELBY COUNTY
D0215U C00034,2005,35,3,GD,NA,SHELBY COUNTY
D0209S A00027,2012,35,3,GD,NA,SHELBY COUNTY
D0207B F00080,2008,35,3,GD,NA,SHELBY COUNTY
D0209A F00009,2010,40,3,GD,NA,SHELBY COUNTY
D0209F A00051,2005,40,3,GD,NA,SHELBY COUNTY
D0209F A00052,2005,40,3,GD,NA,SHELBY COUNTY
D0209F A00054,2005,40,3,GD,NA,SHELBY COUNTY
D0221W A00071,2013,45,3,VG,NA,SHELBY COUNTY
D0213U B00033,2005,35,3,GD,NA,SHELBY COUNTY
D0207  H00021,1959,25,2,PR,Y,SHELBY COUNTY
D0207  H00022,1965,30,3,PR,Y,SHELBY COUNTY
091022 A00052,2003,35,3,AV,NA,MEMPHIS
091022 A00053,2003,35,3,AV,NA,MEMPHIS
091022 A00047,2004,35,3,AV,NA,MEMPHIS
D0215W G00017,2005,35,3,GD,NA,SHELBY COUNTY
D0209A F00043,2006,40,3,GD,NA,SHELBY COUNTY
D0209A F00006,2007,40,3,GD,NA,SHELBY COUNTY
D0209A F00018,2007,40,3,GD,NA,SHELBY COUNTY
D0213P E00067,2011,35,3,GD,NA,SHELBY COUNTY
D0213P E00056,2009,40,3,GD,NA,SHELBY COUNTY
D0213P E00066,2012,40,3,GD,NA,SHELBY COUNTY
D0207G C00049,2000,35,3,AV,NA,SHELBY COUNTY
091019 A00090,2007,35,3,GD,NA,MEMPHIS
091019 A00121,2008,35,3,GD,NA,MEMPHIS
091019 A00094,2008,35,3,GD,NA,MEMPHIS
091019 A00088,2010,35,3,GD,NA,MEMPHIS
091019 A00083,2010,35,3,GD,NA,MEMPHIS
091019 A00092,2007,35,3,GD,NA,MEMPHIS
091019 A00096,2007,35,3,GD,NA,MEMPHIS
091019 A00122,2008,35,3,GD,NA,MEMPHIS
D0209S B00002,2016,40,3,GD,NA,SHELBY COUNTY
D0213U B00011,2004,35,3,GD,NA,SHELBY COUNTY
D0207G C00026,2000,30,3,AV,NA,SHELBY COUNTY
D0207G B00047,1999,35,3,AV,NA,SHELBY COUNTY
D0207G B00051,1999,35,3,AV,NA,SHELBY COUNTY
D0207G B00052,1999,35,3,AV,NA,SHELBY COUNTY
D0207B F00045,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00048,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00047,2009,35,3,GD,NA,SHELBY COUNTY
D0207B F00061,2007,35,3,GD,NA,SHELBY COUNTY
D0207B F00058,2015,35,3,GD,NA,SHELBY COUNTY
D0207B F00057,2007,35,3,GD,NA,SHELBY COUNTY
D0207B F00056,2009,35,3,GD,NA,SHELBY COUNTY
D0207B F00055,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00050,2008,35,3,GD,NA,SHELBY COUNTY
D0213R B00004,1998,30,3,AV,Y,SHELBY COUNTY
D0213R A00013,1998,30,3,AV,Y,SHELBY COUNTY
D0213R B00005,1998,30,3,AV,Y,SHELBY COUNTY
D0207B F00008,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00007,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00070,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00078,2007,35,3,GD,NA,SHELBY COUNTY
D0207B F00124,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00066,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00116,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00043,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00103,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00064,2008,35,3,GD,NA,SHELBY COUNTY
D0207B F00063,2008,35,3,GD,NA,SHELBY COUNTY
D0209G E00100,2012,35,3,GD,NA,SHELBY COUNTY
D0209G E00101,2012,35,3,GD,NA,SHELBY COUNTY
D0215T A00007,2004,40,3,GD,NA,SHELBY COUNTY
D0213Q G00008,2004,35,3,GD,NA,SHELBY COUNTY
