PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090002  00042,1972,25,3,FR,Y,MEMPHIS
D0148   00011,1981,40,3,GD,Y,SHELBY COUNTY
090002  00030,1972,25,3,FR,Y,MEMPHIS
090002  00216,1990,25,3,FR,NA,MEMPHIS
090002  00025,1973,25,3,FR,Y,MEMPHIS
090002  00214,1974,25,3,FR,Y,MEMPHIS
090002  00067,1973,25,3,FR,Y,MEMPHIS
090002  00062,1973,25,3,FR,Y,MEMPHIS
090002  00060,1972,25,4,AV,Y,MEMPHIS
090002  00066,1973,25,3,FR,Y,MEMPHIS
090002  00065,1973,25,3,FR,Y,MEMPHIS
090002  00046,1972,25,3,AV,Y,MEMPHIS
090002  00026,1973,25,3,FR,Y,MEMPHIS
090002  00069,1973,25,3,FR,Y,MEMPHIS
090002  00061,1972,25,3,PR,Y,MEMPHIS
090002  00045,1972,25,3,FR,Y,MEMPHIS
090002  00028,1972,25,3,VP,Y,MEMPHIS
090002  00027,1972,25,3,FR,Y,MEMPHIS
090002  00070,1973,25,3,VP,Y,MEMPHIS
090002  00213,1974,25,3,FR,Y,MEMPHIS
090004  00001,1972,25,3,VP,Y,MEMPHIS
D0147   00229,1975,50,2,PR,Y,SHELBY COUNTY
090004  00002,1972,25,3,FR,Y,MEMPHIS
090004  00003,1972,25,3,FR,Y,MEMPHIS
090002  00212,1974,25,3,FR,Y,MEMPHIS
090004  00004,1972,25,3,VP,Y,MEMPHIS
090004  00005,1972,25,3,FR,Y,MEMPHIS
090002  00219,1973,25,3,FR,Y,MEMPHIS
090004  00007,1972,25,3,FR,Y,MEMPHIS
090004  00008,1972,25,3,FR,Y,MEMPHIS
090004  00009,2001,25,3,FR,Y,MEMPHIS
090002  00072,1973,20,3,FR,Y,MEMPHIS
090004  00011,1972,25,3,AV,Y,MEMPHIS
090004  00012,1972,25,3,FR,Y,MEMPHIS
090004  00016,1972,25,3,FR,Y,MEMPHIS
090004  00017,1972,25,3,FR,Y,MEMPHIS
090002  00211,1974,25,3,FR,Y,MEMPHIS
090028  00002,1956,30,3,FR,Y,MEMPHIS
090002  00220,1973,25,3,AV,Y,MEMPHIS
090003  00001,1972,25,3,FR,Y,MEMPHIS
090004  00035,1972,25,3,VP,Y,MEMPHIS
