PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
093508 A00017,1985,35,3,FR,Y,MEMPHIS
073066  00049,1967,30,3,FR,Y,MEMPHIS
073066 A00039,1993,30,3,FR,NA,MEMPHIS
093510 X00059,1983,30,3,FR,Y,MEMPHIS
093416 B00002,1921,25,3,PR,Y,MEMPHIS
093417 C00076,1971,30,3,FR,Y,MEMPHIS
060211  00008,1959,30,3,AV,Y,MEMPHIS
093417 J00170,1978,30,3,PR,Y,MEMPHIS
093417 F00125,1972,30,3,FR,NA,MEMPHIS
093510 C00157,1974,30,3,AV,Y,MEMPHIS
074095  00002,1967,35,3,AV,Y,MEMPHIS
093510 R00018,1980,30,3,AV,Y,MEMPHIS
074073  00197,1969,35,3,AV,Y,MEMPHIS
074073 C00063,1969,35,3,AV,Y,MEMPHIS
073041 G00056,1971,30,3,AV,NA,MEMPHIS
074029  00027,1961,35,3,FR,NA,MEMPHIS
073041 G00045,1970,30,3,AV,NA,MEMPHIS
074008  00005,1959,30,3,FR,Y,MEMPHIS
073066 A00012,1994,35,3,AV,Y,MEMPHIS
073066  00041,1959,30,3,FR,Y,MEMPHIS
073041 J00028,1972,30,3,AV,NA,MEMPHIS
074030  00021,1962,30,3,FR,NA,MEMPHIS
073041 H00026,1972,30,0,UN,NA,MEMPHIS
073111 A00053,1987,25,3,FR,Y,MEMPHIS
073111 A00045,1978,30,3,FR,Y,MEMPHIS
074021  00055,1960,30,3,FR,Y,MEMPHIS
074037 A00130,1968,30,3,FR,Y,MEMPHIS
093406 A00112,1974,30,3,FR,Y,MEMPHIS
074022  00029,1960,30,3,FR,Y,MEMPHIS
074037 A00111,1968,30,3,FR,Y,MEMPHIS
074073 C00003,1972,35,3,AV,Y,MEMPHIS
074037 A00087,1967,30,3,FR,Y,MEMPHIS
074073 C00088,1970,35,3,AV,Y,MEMPHIS
074023  00002,1961,30,3,FR,Y,MEMPHIS
074037 A00126,1967,30,3,FR,Y,MEMPHIS
093417 P00028,1983,30,3,AV,Y,MEMPHIS
073041 H00019,1972,30,3,AV,NA,MEMPHIS
074037 B00119,1968,30,3,FR,Y,MEMPHIS
074037 A00089,1967,30,3,FR,Y,MEMPHIS
073041 G00015,1970,30,3,AV,NA,MEMPHIS
074073 C00006,1970,35,3,AV,Y,MEMPHIS
073041 N00004,1976,30,3,FR,Y,MEMPHIS
074073 A00068,1968,35,4,GD,Y,MEMPHIS
074073  00220,1969,35,3,AV,Y,MEMPHIS
074073  00270,1968,35,3,AV,Y,MEMPHIS
074037 A00079,1967,30,3,FR,Y,MEMPHIS
073041 N00006,1976,30,3,FR,Y,MEMPHIS
073078  00003,1962,30,3,FR,Y,MEMPHIS
074073 A00024,1970,35,3,AV,Y,MEMPHIS
073041  00087,1975,30,3,FR,Y,MEMPHIS
093406 A00173,1975,30,3,FR,Y,MEMPHIS
074073 C00045,1973,35,3,AV,Y,MEMPHIS
073041 N00003,1970,30,3,FR,Y,MEMPHIS
074037 C00046,1971,30,3,FR,Y,MEMPHIS
093421 B00002,1971,35,3,AV,Y,MEMPHIS
060195  00031,1960,30,3,FR,Y,MEMPHIS
093519 B00099,1984,30,3,AV,Y,MEMPHIS
093510 S00010,1980,30,3,AV,Y,MEMPHIS
074037 H00099,1967,25,0,UN,NA,MEMPHIS
074112  00009,1970,30,3,AV,NA,MEMPHIS
093417 E00061,1970,35,3,FR,Y,MEMPHIS
093417 R00033,1985,30,3,FR,Y,MEMPHIS
074034 A00083,1966,30,3,FR,Y,MEMPHIS
074034 A00005,1966,30,3,FR,Y,MEMPHIS
060207  00007,1962,30,3,FR,Y,MEMPHIS
093513 A00025,1982,30,3,AV,Y,MEMPHIS
093406 C00046,1978,30,3,FR,Y,MEMPHIS
074034 A00006,1966,30,3,FR,Y,MEMPHIS
093417 G00020,1972,30,3,FR,Y,MEMPHIS
093417 G00029,1972,30,3,FR,Y,MEMPHIS
093519 B00049,1984,30,3,FR,Y,MEMPHIS
074037 H00106,1967,25,0,UN,NA,MEMPHIS
093417 H00002,1972,30,3,AV,Y,MEMPHIS
093513 A00005,1982,30,3,AV,Y,MEMPHIS
060192  00021,1964,30,3,FR,Y,MEMPHIS
060192  00020,1963,30,3,FR,Y,MEMPHIS
093510 C00115,1975,30,3,AV,Y,MEMPHIS
093514 B00046,1985,30,3,FR,Y,MEMPHIS
093510 C00114,1975,30,3,AV,Y,MEMPHIS
093406 A00046C,1975,30,3,FR,Y,MEMPHIS
093406 A00043,1974,30,3,FR,Y,MEMPHIS
093406 B00140,1974,30,3,FR,Y,MEMPHIS
093510 C00061,1976,30,3,AV,Y,MEMPHIS
093510 Q00086,1980,30,3,AV,Y,MEMPHIS
093510 C00077,1977,30,3,AV,Y,MEMPHIS
060210  00026,1968,30,3,FR,Y,MEMPHIS
093510 O00152,1979,30,3,AV,Y,MEMPHIS
060176 B00026,1973,30,3,FR,Y,MEMPHIS
093406 A00121,1974,30,3,FR,Y,MEMPHIS
093510 C00168,1974,30,3,AV,Y,MEMPHIS
093509 A00013,1987,30,3,FR,Y,MEMPHIS
093514 A00032,1985,30,3,AV,Y,MEMPHIS
073111 A00010,1987,25,3,FR,Y,MEMPHIS
093510 O00075,1978,30,3,AV,Y,MEMPHIS
093510 L00015,1977,30,3,AV,Y,MEMPHIS
074037 I00003,2004,30,3,AV,NA,MEMPHIS
074037 I00004,2004,30,3,AV,NA,MEMPHIS
074037 I00005,2004,30,3,AV,NA,MEMPHIS
074037 I00006,2004,30,3,GD,NA,MEMPHIS
074037 I00009,2004,30,3,AV,NA,MEMPHIS
093623 D00041,1981,30,3,FR,Y,MEMPHIS
093510 O00034,1979,30,3,GD,Y,MEMPHIS
093406 C00076,1978,30,3,FR,Y,MEMPHIS
093510 C00010,1976,30,3,AV,Y,MEMPHIS
073110  00002,1973,25,3,FR,NA,MEMPHIS
074001  00049,1965,30,3,FR,Y,MEMPHIS
074001  00050,1965,30,3,FR,Y,MEMPHIS
074001  00051,1965,30,3,FR,Y,MEMPHIS
074001  00052,1965,30,3,FR,Y,MEMPHIS
074001  00059,1967,30,3,FR,Y,MEMPHIS
074001  00062,1968,30,3,FR,Y,MEMPHIS
074001  00068,1967,30,3,FR,Y,MEMPHIS
074001  00071,1967,30,3,FR,Y,MEMPHIS
074001  00047,1967,30,3,FR,Y,MEMPHIS
074098  00010,1965,30,3,FR,Y,MEMPHIS
073022  00222,1959,30,3,FR,Y,MEMPHIS
074098  00009,1969,30,3,FR,Y,MEMPHIS
073022  00221,1959,30,3,FR,Y,MEMPHIS
073022  00220,1957,30,3,FR,Y,MEMPHIS
