PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
080008 M00252,1978,30,3,AV,NA,MEMPHIS
067046  00023,1959,30,3,AV,Y,MEMPHIS
G0230P E00034,1979,40,3,GD,Y,GERMANTOWN
G0231S F00016,1990,60,3,EX,Y,GERMANTOWN
G0231S F00014,2015,65,3,EX,NA,GERMANTOWN
G0231S F00002,2014,65,3,EX,NA,GERMANTOWN
G0231S F00004,2012,65,3,EX,NA,GERMANTOWN
056004 D00004,1988,40,3,GD,Y,MEMPHIS
056004 D00007,1988,45,3,GD,Y,MEMPHIS
056004 D00010,1988,40,3,AV,Y,MEMPHIS
056033 E00007,1987,40,3,GD,Y,MEMPHIS
056033 E00008,1986,45,3,AV,Y,MEMPHIS
G0231X C00007,2016,65,3,EX,NA,GERMANTOWN
G0231X C00006,2009,60,3,EX,NA,GERMANTOWN
G0231A H00003,2014,45,3,GD,NA,GERMANTOWN
G0231M M00008,2004,60,3,EX,NA,GERMANTOWN
G0231M M00004,2004,65,3,EX,NA,GERMANTOWN
G0231M M00002,2006,65,3,EX,NA,GERMANTOWN
067037 A00046,2007,40,3,AV,NA,MEMPHIS
067037 A00039,2007,40,3,AV,NA,MEMPHIS
067037 A00034,2007,40,3,VG,NA,MEMPHIS
067037 A00025,2006,40,3,GD,NA,MEMPHIS
067037 A00032,2007,40,3,AV,NA,MEMPHIS
067037 A00043,2007,40,3,AV,NA,MEMPHIS
067037 A00026,2006,40,3,AV,NA,MEMPHIS
067037 A00054,2007,40,3,GD,NA,MEMPHIS
067037 A00055,2006,40,3,AV,NA,MEMPHIS
067037 A00002,2006,35,3,GD,NA,MEMPHIS
067037 A00029,2006,40,4,AV,NA,MEMPHIS
067037 A00058,2006,40,3,AV,NA,MEMPHIS
081089 G00020,1985,30,3,AV,Y,MEMPHIS
081089 G00013,1984,30,3,AV,Y,MEMPHIS
081089 G00012,1985,30,3,AV,Y,MEMPHIS
081089 G00022,1985,30,3,AV,Y,MEMPHIS
056007  00010,1961,40,4,AV,Y,MEMPHIS
G0230   00447,2014,60,3,EX,NA,GERMANTOWN
G0231X C00010,2018,65,3,EX,NA,GERMANTOWN
