PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
L0159D G00010,1982,35,3,GD,Y,LAKELAND
L0159G B00030,1997,35,3,GD,Y,LAKELAND
B0158L E00009,2016,40,3,GD,NA,BARTLETT
B0165U A00058,1974,35,3,AV,Y,BARTLETT
B0165U A00059,1974,35,3,AV,Y,BARTLETT
B0165U A00060,1974,35,3,AV,Y,BARTLETT
L0160A A00003,1999,50,3,EX,Y,LAKELAND
B0157J N00003,2001,35,3,GD,NA,BARTLETT
B0157J N00020,2003,35,3,GD,NA,BARTLETT
B0157J N00021,2002,35,3,GD,NA,BARTLETT
B0157J N00028,2003,35,3,GD,NA,BARTLETT
B0157J N00034,2003,35,3,GD,NA,BARTLETT
B0157J N00032,2004,35,3,GD,NA,BARTLETT
B0157J N00031,2007,35,3,GD,NA,BARTLETT
B0157J N00030,2004,35,3,GD,NA,BARTLETT
B0157J N00029,2003,35,3,AV,NA,BARTLETT
B0157J N00062,2007,30,3,GD,NA,BARTLETT
B0157J N00063,2007,30,3,GD,NA,BARTLETT
L0160A A00007,2001,50,3,EX,N,LAKELAND
L0150F B00002,2006,60,3,EX,NA,LAKELAND
L0150F B00003,2006,60,3,EX,NA,LAKELAND
B0157L B00025,1996,40,3,GD,Y,BARTLETT
B0139V A00068,2015,40,4,GD,NA,BARTLETT
B0139V A00065,2014,40,4,VG,NA,BARTLETT
B0139V A00070,2015,40,3,GD,NA,BARTLETT
B0139V A00064,2014,40,4,GD,NA,BARTLETT
B0139V A00063,2008,40,3,GD,NA,BARTLETT
B0139V A00071,2014,40,3,VG,NA,BARTLETT
B0139V A00081,2012,40,3,GD,NA,BARTLETT
B0139V A00062,2013,40,3,GD,NA,BARTLETT
B0139V A00084,2013,40,3,VG,NA,BARTLETT
B0158P A00005,2014,45,3,VG,NA,BARTLETT
L0150B A00044,2003,55,3,EX,NA,LAKELAND
L0150B A00045,2004,55,3,EX,NA,LAKELAND
L0150B A00002,2006,60,3,EX,NA,LAKELAND
L0150B A00005,2008,65,3,EX,NA,LAKELAND
L0150B A00039,2003,55,3,EX,NA,LAKELAND
L0150B A00043,2003,55,3,EX,NA,LAKELAND
L0159A C00022,2015,55,4,EX,NA,LAKELAND
B0165U G00065,1981,40,3,GD,Y,BARTLETT
L0160A B00014,2008,55,3,EX,NA,LAKELAND
L0150F B00007,2013,60,3,EX,NA,LAKELAND
L0150F B00006,2005,60,3,EX,NA,LAKELAND
B0138B F00050,2018,35,3,GD,NA,BARTLETT
B0138B F00049,2009,35,3,GD,NA,BARTLETT
L0140A E00013C,2008,45,3,VG,NA,LAKELAND
B0149A A00027,1988,45,3,VG,Y,BARTLETT
B0158L D00003,2015,40,3,GD,NA,BARTLETT
B0158L C00019,2007,40,3,AV,NA,BARTLETT
B0156K B00062,1974,30,3,AV,Y,BARTLETT
B0156K B00063,1974,30,3,AV,Y,BARTLETT
B0157F E00019,1987,30,3,AV,Y,BARTLETT
B0157F G00005,1989,30,3,AV,Y,BARTLETT
B0149L B00006,2007,50,3,VG,NA,BARTLETT
B0149L B00002,2004,50,3,VG,NA,BARTLETT
B0149L B00007,2009,50,3,VG,NA,BARTLETT
B0148X A00009,1999,40,3,GD,NA,BARTLETT
B0148Y C00013,2008,45,3,VG,NA,BARTLETT
B0148Y C00014,2007,45,3,VG,NA,BARTLETT
B0148N E00014,2018,40,3,VG,NA,BARTLETT
B0148N E00015,2019,40,3,GD,NA,BARTLETT
B0149   00530,1988,40,3,GD,Y,BARTLETT
B0157J N00035,2004,35,3,GD,NA,BARTLETT
B0157J N00051,2005,35,3,GD,NA,BARTLETT
B0157J N00064,2007,30,3,GD,NA,BARTLETT
B0157J N00065,2007,30,3,GD,NA,BARTLETT
B0157J N00050,2003,35,3,GD,NA,BARTLETT
B0157J N00049,2005,35,3,VG,NA,BARTLETT
B0158K D00007,2015,45,3,VG,NA,BARTLETT
B0158K D00003,2012,45,3,VG,NA,BARTLETT
B0158K D00020,2013,45,3,VG,NA,BARTLETT
B0158K D00021,2011,45,3,VG,NA,BARTLETT
L0150A E00010,2017,55,3,EX,NA,LAKELAND
L0150A E00009,2017,55,3,EX,NA,LAKELAND
L0150A E00005,2019,55,3,EX,NA,LAKELAND
L0150A E00006,2021,55,3,EX,NA,LAKELAND
B0148O B00016,2010,45,3,VG,NA,BARTLETT
B0148O B00002,2006,45,3,EX,NA,BARTLETT
B0149V C00049,2000,40,3,GD,N,BARTLETT
B0149V E00040,2005,35,4,GD,NA,BARTLETT
B0149V E00086,2004,35,3,GD,NA,BARTLETT
B0149V E00069,2004,35,3,GD,NA,BARTLETT
L0150P A00050,2008,50,5,VG,NA,LAKELAND
B0158L D00002,2012,40,3,GD,NA,BARTLETT
B0158L D00001,2013,40,3,VG,NA,BARTLETT
B0158L C00016,2011,40,3,GD,NA,BARTLETT
B0149Q G00024,2012,40,3,GD,NA,BARTLETT
B0158S C00033,2019,40,3,GD,NA,BARTLETT
B0158S C00034,2019,40,3,GD,NA,BARTLETT
L0160A B00019,2009,55,3,EX,NA,LAKELAND
L0160A B00010,2016,55,3,EX,NA,LAKELAND
B0138C E00033,2004,40,3,GD,NA,BARTLETT
B0138C E00001,2003,40,3,GD,NA,BARTLETT
B0157  P00084,1965,30,3,AV,Y,BARTLETT
B0157N C00059,1983,30,3,AV,Y,BARTLETT
L0150  A00033,2019,50,3,VG,NA,LAKELAND
B0150Y D00011,2011,40,3,GD,NA,BARTLETT
L0150P A00057,2014,50,3,VG,NA,LAKELAND
L0150P A00052,2013,50,3,VG,NA,LAKELAND
L0150P A00058,2014,50,3,VG,NA,LAKELAND
L0150P A00051,2013,50,3,VG,NA,LAKELAND
L0150P A00059,2014,50,3,VG,NA,LAKELAND
L0150A C00012,2010,45,3,VG,NA,LAKELAND
L0150A D00052,2012,50,3,VG,NA,LAKELAND
B0139V A00074,2013,40,3,GD,NA,BARTLETT
B0156   00229,1940,30,3,AV,Y,BARTLETT
B0157  W00191,1971,30,3,AV,Y,BARTLETT
B0156   00232,1955,30,3,AV,Y,BARTLETT
B0157J A00013,1976,30,3,AV,Y,BARTLETT
B0156   00516,1945,35,3,GD,Y,BARTLETT
B0156   00515,1970,30,3,GD,Y,BARTLETT
B0156   00237,1926,30,3,AV,Y,BARTLETT
B0156   00235,1921,30,3,GD,Y,BARTLETT
B0156   00235,1900,20,3,FR,Y,BARTLETT
B0156   00637,2001,45,4,VG,NA,BARTLETT
B0156   00234,1973,35,3,AV,Y,BARTLETT
B0156   00240,1933,30,3,AV,Y,BARTLETT
B0156   00239,1931,35,3,GD,Y,BARTLETT
B0156   00238,1987,40,3,VG,Y,BARTLETT
