PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
D0242J A00041,1992,40,3,GD,NA,SHELBY COUNTY
D0241A E00069,1989,40,3,GD,Y,SHELBY COUNTY
D0242J B00040,1992,40,3,GD,NA,SHELBY COUNTY
D0255A A00101,1992,35,3,GD,Y,SHELBY COUNTY
D0255B A00025,1993,35,3,GD,NA,SHELBY COUNTY
C0257   00129,1981,35,3,GD,Y,COLLIERVILLE
D0255P E00017,2004,40,3,GD,NA,SHELBY COUNTY
D0242I A00048,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00055,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00067,2006,35,3,AV,NA,SHELBY COUNTY
D0242I A00068,2006,35,3,AV,NA,SHELBY COUNTY
D0242I A00021,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00075,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00086,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00013,2014,35,3,AV,NA,SHELBY COUNTY
D0242I A00014,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00093,2007,35,3,AV,NA,SHELBY COUNTY
D0242I A00040,2015,30,3,GD,NA,SHELBY COUNTY
D0242I A00008,2006,35,3,AV,NA,SHELBY COUNTY
D0242I A00007,2014,35,3,GD,NA,SHELBY COUNTY
D0242I A00006,2013,35,3,GD,NA,SHELBY COUNTY
D0242I A00004,2015,35,3,AV,NA,SHELBY COUNTY
D0242I A00005,2014,35,3,AV,NA,SHELBY COUNTY
D0242I A00003,2008,30,3,AV,NA,SHELBY COUNTY
D0242I A00001,2007,35,3,GD,NA,SHELBY COUNTY
D0242I A00002,2007,35,3,AV,NA,SHELBY COUNTY
D0255U G00037,2006,40,3,GD,NA,SHELBY COUNTY
D0255U H00031,2007,40,3,GD,NA,SHELBY COUNTY
D0255G I00069,2005,40,3,GD,NA,SHELBY COUNTY
D0255F G00009,2006,45,3,GD,NA,SHELBY COUNTY
D0255K C00012,2005,45,3,GD,NA,SHELBY COUNTY
D0255K D00001,2007,45,3,VG,NA,SHELBY COUNTY
D0255K E00012,2007,45,3,VG,NA,SHELBY COUNTY
D0255K E00015,2009,45,3,VG,NA,SHELBY COUNTY
D0256O A00036,2013,40,3,GD,NA,SHELBY COUNTY
C0257Y B00015,2003,40,3,GD,NA,COLLIERVILLE
D0242J B00038,1992,40,3,GD,Y,SHELBY COUNTY
D0242J B00029,1992,40,3,GD,NA,SHELBY COUNTY
D0241F D00075,1995,30,3,AV,Y,SHELBY COUNTY
093512 A00057,1986,35,3,AV,Y,MEMPHIS
G0243T A00009,2010,45,3,VG,NA,GERMANTOWN
D0256O B00013,2014,40,3,GD,NA,SHELBY COUNTY
093507 M00001,1997,40,3,AV,NA,MEMPHIS
081087  00094,1986,45,4,GD,Y,MEMPHIS
G0243   00498,2020,60,3,EX,Y,GERMANTOWN
G0243T A00008,2012,45,3,VG,NA,GERMANTOWN
D0242I A00030,2008,30,3,AV,NA,SHELBY COUNTY
D0242I A00085,2008,30,3,AV,NA,SHELBY COUNTY
G0243   00149C,1984,35,3,GD,Y,GERMANTOWN
G0242U C00026,1992,45,3,VG,NA,GERMANTOWN
G0242U C00035,1993,45,3,VG,NA,GERMANTOWN
D0242O C00070,1999,30,3,FR,NA,SHELBY COUNTY
093504 A00113,1974,35,3,AV,Y,MEMPHIS
093507 F00050,1985,35,3,AV,Y,MEMPHIS
G0242V G00004,2017,55,3,EX,NA,GERMANTOWN
G0242V A00009,1983,50,3,EX,Y,GERMANTOWN
093512 B00033,1987,35,3,AV,Y,MEMPHIS
D0242O C00076,1999,30,3,FR,NA,SHELBY COUNTY
093512 A00009,1986,35,3,AV,Y,MEMPHIS
093507 H00027,1986,35,3,AV,Y,MEMPHIS
093507 D00003,1985,40,3,AV,Y,MEMPHIS
093512 B00069,1986,35,3,AV,Y,MEMPHIS
D0242O B00072,1996,30,3,AV,NA,SHELBY COUNTY
093507 M00070,1998,40,3,AV,N,MEMPHIS
D0242O A00086,1996,35,3,AV,Y,SHELBY COUNTY
D0242O C00071,1999,30,3,FR,NA,SHELBY COUNTY
093507 H00007,1987,35,3,AV,Y,MEMPHIS
093507 B00044,1983,35,3,AV,Y,MEMPHIS
093511 G00005,1989,35,3,AV,Y,MEMPHIS
093512 B00006,1985,35,3,AV,Y,MEMPHIS
093507 B00047,1983,35,3,AV,Y,MEMPHIS
093507 L00047,1997,40,3,AV,NA,MEMPHIS
D0241F D00099,1994,30,3,AV,Y,SHELBY COUNTY
093507 M00062,1998,40,3,AV,Y,MEMPHIS
093507 M00056,1999,40,3,AV,Y,MEMPHIS
D0241F B00046,1991,35,3,AV,NA,SHELBY COUNTY
C0257   00237C,1997,45,3,VG,Y,COLLIERVILLE
C0257   00237C,1952,30,3,AV,Y,COLLIERVILLE
D0255M L00084,1988,40,3,GD,Y,SHELBY COUNTY
093507 L00051,1999,40,3,AV,NA,MEMPHIS
093507 L00063,1998,40,3,AV,Y,MEMPHIS
093507 L00012,1998,40,3,AV,Y,MEMPHIS
D0255U G00054,2007,40,3,GD,NA,SHELBY COUNTY
D0255U G00053,2009,40,3,GD,NA,SHELBY COUNTY
D0255U G00039,2006,40,3,GD,NA,SHELBY COUNTY
D0255U G00038,2008,40,3,GD,NA,SHELBY COUNTY
D0256T F00024,2003,40,3,GD,NA,SHELBY COUNTY
D0256T G00028,2005,40,3,GD,NA,SHELBY COUNTY
D0256T I00008,2019,40,3,GD,NA,SHELBY COUNTY
D0256T I00009,2020,45,3,VG,NA,SHELBY COUNTY
D0256T I00035,2015,40,3,GD,NA,SHELBY COUNTY
D0256O A00008,2015,35,3,GD,NA,SHELBY COUNTY
D0256O A00013,2011,40,3,GD,NA,SHELBY COUNTY
D0256O A00015,2013,40,3,GD,NA,SHELBY COUNTY
D0256O B00001,2013,40,3,GD,NA,SHELBY COUNTY
D0256O B00002,2019,35,3,GD,NA,SHELBY COUNTY
D0256O B00014,2013,40,3,GD,NA,SHELBY COUNTY
D0256O B00011,2014,40,3,GD,NA,SHELBY COUNTY
D0256O B00006,2017,35,3,GD,NA,SHELBY COUNTY
D0256T I00012,2017,35,3,GD,NA,SHELBY COUNTY
D0256T I00013,2019,35,3,GD,NA,SHELBY COUNTY
D0256T I00036,2018,40,3,GD,NA,SHELBY COUNTY
D0256T I00005,2019,40,3,GD,NA,SHELBY COUNTY
D0256T I00006,2017,40,3,GD,NA,SHELBY COUNTY
D0256T I00007,2018,40,3,GD,NA,SHELBY COUNTY
D0255U E00032,1999,40,3,GD,NA,SHELBY COUNTY
D0256J A00009,1986,35,3,GD,Y,SHELBY COUNTY
D0256T I00022,2017,35,3,GD,NA,SHELBY COUNTY
D0256T I00001,2017,40,3,GD,NA,SHELBY COUNTY
D0256T I00021,2016,35,3,GD,NA,SHELBY COUNTY
